IMO,NAVIO,OPERACAO,COMP(M),DWT,CARGA,QTD CARGA,CALADO,AGENCIA,PREV CHEGADA,ULTIMA ATUALIZAÇÃO
9396127,STAR KIRKENES,EXPORTAÇÃO,209,49.924,CELULOSE,30.000,8,WILSON SONS SHIPPING SERVICES LTDA,08/06/23,10/06/23
9717072,MEGHNA SUN,IMPORTAÇÃO,190,58,FERTILIZANTES,25.950,11.5,LBH BRASIL,20/07/23,10/06/23
9613305,CITRIODORA,EXPORTAÇÃO,200,57.440,CELULOSE,17.000,7.2,WILHELMSEN PORT SERVICES BRASIL LTDA,11/06/23,10/06/23
9659799,WL LADOGA,IMPORTAÇÃO,180,37.666,FERTILIZANTES,30.000,10,WILHELMSEN PORT SERVICES BRASIL LTDA,15/06/23,10/06/23
9638501,THOR CHAICHANA,IMPORTAÇÃO,197,58.605,FERTILIZANTES,47.350,11,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,04/07/23,10/06/23
9748368,LA STELLA,IMPORTAÇÃO,200,61.250,MOP,23.760,10.9,ORION RODOS,19/06/23,10/06/23
9801160,AMBER STAR,IMPORTAÇÃO,180,37.692,FERTILIZANTES,30.000,10.54,AMART SERVICES,16/06/23,10/06/23
9801718,SCARLETT MANX,IMPORTAÇÃO,200,63.878,FERTILIZANTES,17.250,11.5,WILSON SONS SHIPPING SERVICES LTDA,02/07/23,10/06/23
9791963,INCHEON BAY,IMPORTAÇÃO,180,37.501,FERTILIZANTES,4.400,10.5,LBH BRASIL,29/06/23,10/06/23
9727182,LOWLANDS HOPE,IMPORTAÇÃO,200,60.063,OUTS.ADUBOS/FERTILIZ.MINER.QUIM.C/NITROGENIO,19.600,10.5,WILSON SONS SHIPPING SERVICES LTDA,17/06/23,10/06/23
9534470,INDUSTRIAL MERCHANT,IMPORTAÇÃO,116,10.049,OUTROS,237,6.9,ORION RODOS,18/06/23,10/06/23
9420825,DOLFIJNGRACHT,IMPORTAÇÃO,157,17.967,TRILHOS,3.471,7.33,TRANSGLOBAL OPERACOES PORTUARIAS LTDA,15/06/23,11/06/23
9719331,KIBO,IMPORTAÇÃO,182,38.896,FERTILIZANTES,14.251,8,LBH BRASIL,02/07/23,10/06/23
9832456,EUCALYPTUS,IMPORTAÇÃO,180,36.300,FERTILIZANTES,7.000,10.2,LBH BRASIL,08/07/23,10/06/23
9599004,SEAMEC GALLANT,IMPORTAÇÃO,180,32.289,MAP,6.862,9.5,ORION RODOS,01/07/23,10/06/23
9928372,HSL VEGAS,EXPORTAÇÃO,229,81.981,SOJA,72.000,7.4,ALPHAMAR,13/06/23,10/06/23
9845790,LEM GERANIUM,EXPORTAÇÃO,200,64.712,SOJA,57.862,7.44,ROCHAMAR,15/06/23,10/06/23
9949053,YASA PEARL,EXPORTAÇÃO,230,85.249,SOJA,71.400,6,LBH BRASIL,12/06/23,10/06/23
9559200,DN 204,TRANSBORDO,29,381,BUNKER,3.000,2.44,ORION RODOS,26/02/22,10/06/23
9144380,BRAGE R,TRANSBORDO,89,3.200,DIESEL,200,4,OCEANMAR SERVIÇOS MARÍTIMOS LTDA,20/09/21,10/06/23
9848352,MARITIME VALOR,TRANSBORDO,183,49.999,GASOLINA,41.180,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,14/06/23,10/06/23
9580120,GOLF,EXPORTAÇÃO,180,35.445,COBRE,161,7,WILHELMSEN PORT SERVICES BRASIL LTDA,17/04/22,10/06/23
9302762,NAVIOS TAURUS,EXPORTAÇÃO,225,76.596,SOJA,66.000,7,ALPHAMAR,13/06/23,10/06/23
9405904,KLARA,IMPORTAÇÃO,183,49.999,DIESEL,26.082,11.6,NORTH STAR,12/06/23,10/06/23
9315769,THE SAUCE,IMPORTAÇÃO,184,37.651,DIESEL,10.000,9.5,NORTH STAR,16/06/23,10/06/23
9761956,SUNRISE,IMPORTAÇÃO,228,74.043,GASOLINA,36.680,12.7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,13/06/23,10/06/23
9402782,OCEAN ELECTRA,IMPORTAÇÃO,183,47.377,OLEO.COMBUSTÍVEL,7.500,10.6,LACHMANN,05/06/23,10/06/23
9407392,HORIZON THEANO,IMPORTAÇÃO,183,49.999,DIESEL,5.000,11,LACHMANN,08/06/23,10/06/23
9468815,BOLERO,IMPORTAÇÃO,189,50.094,OLEO.COMBUSTÍVEL,4.000,9,LACHMANN,09/06/23,10/06/23
