IMO,NAVIO,OPERACAO,COMP,DWT,CARGA,QTD CARGA,CALADO,AGENCIA,ULTIMA ATUALIZACAO
9526710,RADIUS,IMPORTAÇÃO,178,36.976,FERTILIZANTES,28.900,10,WILHELMSEN PORT SERVICES BRASIL LTDA,10/06/23
9386407,SEA BRAVERY,IMPORTAÇÃO,190,58.722,MOP,49.431,11.6,ROCHAMAR,11/06/23
9569968,MANDARIN SINGAPORE,IMPORTAÇÃO,190,56.724,CALCARIO,40.000,11.3,WILHELMSEN PORT SERVICES BRASIL LTDA,10/06/23
9692674,VAN LEOPARD,IMPORTAÇÃO,198,60.263,CLINQUER,47.100,11.5,LBH BRASIL,10/06/23
9714783,TOMINI LEVANT,IMPORTAÇÃO,180,38.719,FERTILIZANTES,27.500,11,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,11/06/23
9397236,AGIA TRIADA,IMPORTAÇÃO,176,31.887,MOP,21.950,8.7,ORION RODOS,10/06/23
9803417,WECO KAROLINE,IMPORTAÇÃO,180,38.905,MES9,19.000,6.78,ROCHAMAR,10/06/23
9737060,KOUSHUN,IMPORTAÇÃO,200,60.297,OUTROS,5.250,9,WILSON SONS SHIPPING SERVICES LTDA,10/06/23
9848077,SSI SPLENDID,IMPORTAÇÃO,200,63.510,SSP,10.800,11.5,ROCHAMAR,10/06/23
9523263,OINOUSSIAN VIGOUR,EXPORTAÇÃO,227,82.167,SOJA,71.000,6,LBH BRASIL,10/06/23
9677375,MATISSE,EXPORTAÇÃO,229,81.129,SOJA,66.000,7.76,ALPHAMAR,10/06/23
9474670,MAIRINI,EXPORTAÇÃO,229,79.023,SOJA,67.504,7.75,ALPHAMAR,10/06/23
9603142,SSI SURPRISE,EXPORTAÇÃO,229,81.630,SOJA,69.300,7,ALPHAMAR,10/06/23
9718038,ETRON,EXPORTAÇÃO,229,81.080,SOJA,62.700,7.3,FERTIMPORT,10/06/23
9456343,JAG RISHI,EXPORTAÇÃO,190,56.719,FARELO,45.000,6,FERTIMPORT,10/06/23
9317470,GREAT VENTURE,EXPORTAÇÃO,225,77.283,SOJA,66.648,7.9,CARGONAVE,10/06/23
9452608,JAWOR,EXPORTAÇÃO,229,79.649,SOJA,65.000,8.46,FERTIMPORT,10/06/23
9416836,FLUMAR BRASIL,EXPORTAÇÃO,183,51.188,DIESEL S 10,48.525,10,LACHMANN,10/06/23
9848352,MARITIME VALOR,IMPORTAÇÃO,183,49.999,OUTRAS,12.000,8.6,UNIMAR,10/06/23
9768746,MARITIME POLARIS,IMPORTAÇÃO,183,49.996,OUTRAS,33.860,10.75,NORTH STAR,10/06/23
9478688,PINE MEADOW,IMPORTAÇÃO,183,50.171,DIESEL,38.500,10.9,LACHMANN,10/06/23
9315733,JAG PUSHPA,IMPORTAÇÃO,183,48,GASOLINA,33.342,8.6,NORTH STAR,10/06/23
9453054,PATRICIA V,EXPORTAÇÃO,225,75.354,SOJA,65.000,8,FERTIMPORT,10/06/23
9547697,OLAVO BILAC,IMPORTAÇÃO,249,114.481,DIESEL,50.000,13.8,LACHMANN,10/06/23
9704441,ZOILO,IMPORTAÇÃO,183,49.990,DIESEL,51.871,12.5,NORTH STAR,10/06/23
9717773,JENNINGS BAY,IMPORTAÇÃO,183,49.990,GASOLINA,50.000,11,LACHMANN,10/06/23
